=== DVD Bounce Heading Selection ===
DVD heading selections so far: 5
Successful interaction entries: 2
Completed 30 s interactions: 2
Abandoned before interaction: 0
Abandoned after interaction: 0
Cooldown ignored detections: 17
Current human phase: APPROACH
Reposition commits: 0
Settle successes: 2

Open beam rule: inf OR range >= 4.5000 m
Minimum accepted sector width: 18.0000 deg
Sector edge margin: 8.0000 deg
Preferred bounce band: +/-55.0000 to +/-150.0000 deg
Fallback bounce band: +/-35.0000 to +/-165.0000 deg

Accepted open sectors: 2
Widest open sector beams: 208
Preferred left candidates: 116
Preferred right candidates: 102
Fallback candidates: 288

=== Result ===
Selected behaviour: preferred random side-bounce
Selected side: right/negative
Selected index: 123
Selected angle: -118.4144 deg
Representative range: 4.7639 m

=== Laser Scan Values ===
  [  73]  angle=-143.4491 deg  range=inf m  open=yes  preferred=yes
  [  74]  angle=-142.9484 deg  range=inf m  open=yes  preferred=yes
  [  75]  angle=-142.4477 deg  range=inf m  open=yes  preferred=yes
  [  76]  angle=-141.9470 deg  range=inf m  open=yes  preferred=yes
  [  77]  angle=-141.4463 deg  range=inf m  open=yes  preferred=yes
  [  78]  angle=-140.9456 deg  range=inf m  open=yes  preferred=yes
  [  79]  angle=-140.4450 deg  range=inf m  open=yes  preferred=yes
  [  80]  angle=-139.9443 deg  range=inf m  open=yes  preferred=yes
  [  81]  angle=-139.4436 deg  range=inf m  open=yes  preferred=yes
  [  82]  angle=-138.9429 deg  range=inf m  open=yes  preferred=yes
  [  83]  angle=-138.4422 deg  range=inf m  open=yes  preferred=yes
  [  84]  angle=-137.9415 deg  range=inf m  open=yes  preferred=yes
  [  85]  angle=-137.4408 deg  range=inf m  open=yes  preferred=yes
  [  86]  angle=-136.9401 deg  range=4.7833 m  open=yes  preferred=yes
  [  87]  angle=-136.4394 deg  range=4.7762 m  open=yes  preferred=yes
  [  88]  angle=-135.9387 deg  range=4.7694 m  open=yes  preferred=yes
  [  89]  angle=-135.4380 deg  range=4.7630 m  open=yes  preferred=yes
  [  90]  angle=-134.9373 deg  range=4.7570 m  open=yes  preferred=yes
  [  91]  angle=-134.4366 deg  range=4.7514 m  open=yes  preferred=yes
  [  92]  angle=-133.9359 deg  range=4.7461 m  open=yes  preferred=yes
  [  93]  angle=-133.4352 deg  range=4.7412 m  open=yes  preferred=yes
  [  94]  angle=-132.9345 deg  range=4.7367 m  open=yes  preferred=yes
  [  95]  angle=-132.4338 deg  range=4.7326 m  open=yes  preferred=yes
  [  96]  angle=-131.9331 deg  range=4.7288 m  open=yes  preferred=yes
  [  97]  angle=-131.4324 deg  range=4.7254 m  open=yes  preferred=yes
  [  98]  angle=-130.9317 deg  range=4.7223 m  open=yes  preferred=yes
  [  99]  angle=-130.4311 deg  range=4.7196 m  open=yes  preferred=yes
  [ 100]  angle=-129.9304 deg  range=4.7173 m  open=yes  preferred=yes
  [ 101]  angle=-129.4297 deg  range=4.7154 m  open=yes  preferred=yes
  [ 102]  angle=-128.9290 deg  range=4.7138 m  open=yes  preferred=yes
  [ 103]  angle=-128.4283 deg  range=4.7125 m  open=yes  preferred=yes
  [ 104]  angle=-127.9276 deg  range=4.7117 m  open=yes  preferred=yes
  [ 105]  angle=-127.4269 deg  range=4.7112 m  open=yes  preferred=yes
  [ 106]  angle=-126.9262 deg  range=4.7110 m  open=yes  preferred=yes
  [ 107]  angle=-126.4255 deg  range=4.7112 m  open=yes  preferred=yes
  [ 108]  angle=-125.9248 deg  range=4.7118 m  open=yes  preferred=yes
  [ 109]  angle=-125.4241 deg  range=4.7127 m  open=yes  preferred=yes
  [ 110]  angle=-124.9234 deg  range=4.7140 m  open=yes  preferred=yes
  [ 111]  angle=-124.4227 deg  range=4.7156 m  open=yes  preferred=yes
  [ 112]  angle=-123.9220 deg  range=4.7176 m  open=yes  preferred=yes
  [ 113]  angle=-123.4213 deg  range=4.7200 m  open=yes  preferred=yes
  [ 114]  angle=-122.9206 deg  range=4.7228 m  open=yes  preferred=yes
  [ 115]  angle=-122.4199 deg  range=4.7259 m  open=yes  preferred=yes
  [ 116]  angle=-121.9192 deg  range=4.7293 m  open=yes  preferred=yes
  [ 117]  angle=-121.4185 deg  range=4.7332 m  open=yes  preferred=yes
  [ 118]  angle=-120.9178 deg  range=4.7374 m  open=yes  preferred=yes
  [ 119]  angle=-120.4172 deg  range=4.7419 m  open=yes  preferred=yes
  [ 120]  angle=-119.9165 deg  range=4.7469 m  open=yes  preferred=yes
  [ 121]  angle=-119.4158 deg  range=4.7522 m  open=yes  preferred=yes
  [ 122]  angle=-118.9151 deg  range=4.7579 m  open=yes  preferred=yes
  [ 123]  angle=-118.4144 deg  range=4.7639 m  open=yes  preferred=yes
  [ 124]  angle=-117.9137 deg  range=4.7704 m  open=yes  preferred=yes
  [ 125]  angle=-117.4130 deg  range=4.7772 m  open=yes  preferred=yes
  [ 126]  angle=-116.9123 deg  range=4.7844 m  open=yes  preferred=yes
  [ 127]  angle=-116.4116 deg  range=4.7920 m  open=yes  preferred=yes
  [ 128]  angle=-115.9109 deg  range=4.8000 m  open=yes  preferred=yes
  [ 129]  angle=-115.4102 deg  range=4.8084 m  open=yes  preferred=yes
  [ 130]  angle=-114.9095 deg  range=4.8172 m  open=yes  preferred=yes
  [ 131]  angle=-114.4088 deg  range=4.8264 m  open=yes  preferred=yes
  [ 132]  angle=-113.9081 deg  range=4.8360 m  open=yes  preferred=yes
