=== Laser Scan Values ===
  [ 119]  angle=-120.4172 deg  range=4.9835 m
  [ 120]  angle=-119.9165 deg  range=4.9941 m
  [ 121]  angle=-119.4158 deg  range=5.0050 m
  [ 122]  angle=-118.9151 deg  range=5.0164 m
  [ 123]  angle=-118.4144 deg  range=5.0282 m
  [ 124]  angle=-117.9137 deg  range=5.0405 m
  [ 125]  angle=-117.4130 deg  range=5.0532 m
  [ 126]  angle=-116.9123 deg  range=4.9180 m
  [ 127]  angle=-116.4116 deg  range=4.7801 m
  [ 128]  angle=-115.9109 deg  range=4.6501 m
  [ 129]  angle=-115.4102 deg  range=4.5273 m
  [ 130]  angle=-114.9095 deg  range=4.4111 m
  [ 131]  angle=-114.4088 deg  range=4.3011 m
  [ 132]  angle=-113.9081 deg  range=4.1967 m
  [ 133]  angle=-113.4074 deg  range=4.0976 m
  [ 134]  angle=-112.9067 deg  range=4.0034 m
  [ 135]  angle=-112.4060 deg  range=3.9137 m
  [ 136]  angle=-111.9053 deg  range=3.8282 m
  [ 137]  angle=-111.4046 deg  range=3.7466 m
  [ 138]  angle=-110.9039 deg  range=3.6687 m
  [ 139]  angle=-110.4033 deg  range=3.5943 m
  [ 140]  angle=-109.9026 deg  range=3.5231 m
  [ 141]  angle=-109.4019 deg  range=3.4549 m
  [ 142]  angle=-108.9012 deg  range=3.3895 m
  [ 143]  angle=-108.4005 deg  range=3.3269 m
  [ 144]  angle=-107.8998 deg  range=3.2667 m
  [ 145]  angle=-107.3991 deg  range=3.2090 m
  [ 146]  angle=-106.8984 deg  range=3.1534 m
  [ 147]  angle=-106.3977 deg  range=3.1000 m
  [ 148]  angle=-105.8970 deg  range=3.0486 m
  [ 149]  angle=-105.3963 deg  range=2.9991 m
  [ 150]  angle=-104.8956 deg  range=2.9514 m
  [ 151]  angle=-104.3949 deg  range=2.9054 m
  [ 152]  angle=-103.8942 deg  range=2.8611 m
  [ 153]  angle=-103.3935 deg  range=2.8183 m
  [ 154]  angle=-102.8928 deg  range=2.7769 m
  [ 155]  angle=-102.3921 deg  range=2.7370 m
  [ 156]  angle=-101.8914 deg  range=2.6984 m
  [ 157]  angle=-101.3907 deg  range=2.6611 m
  [ 158]  angle=-100.8900 deg  range=2.6250 m
  [ 159]  angle=-100.3894 deg  range=2.5900 m
  [ 160]  angle= -99.8887 deg  range=2.5562 m
  [ 161]  angle= -99.3880 deg  range=2.5234 m
  [ 162]  angle= -98.8873 deg  range=2.4916 m
  [ 163]  angle= -98.3866 deg  range=2.4609 m
  [ 164]  angle= -97.8859 deg  range=2.4310 m
  [ 165]  angle= -97.3852 deg  range=2.4021 m
  [ 166]  angle= -96.8845 deg  range=2.3740 m
  [ 167]  angle= -96.3838 deg  range=2.3467 m
  [ 168]  angle= -95.8831 deg  range=2.3202 m
  [ 169]  angle= -95.3824 deg  range=2.2945 m
  [ 170]  angle= -94.8817 deg  range=2.2696 m
  [ 171]  angle= -94.3810 deg  range=2.2453 m
  [ 172]  angle= -93.8803 deg  range=2.2217 m
  [ 173]  angle= -93.3796 deg  range=2.1988 m
  [ 174]  angle= -92.8789 deg  range=2.1765 m
  [ 175]  angle= -92.3782 deg  range=2.1548 m
  [ 176]  angle= -91.8775 deg  range=2.1337 m
  [ 177]  angle= -91.3768 deg  range=2.1132 m
  [ 178]  angle= -90.8762 deg  range=2.0932 m
  [ 179]  angle= -90.3755 deg  range=2.0738 m
  [ 180]  angle= -89.8748 deg  range=2.0548 m
  [ 181]  angle= -89.3741 deg  range=2.0364 m
  [ 182]  angle= -88.8734 deg  range=2.0184 m
  [ 183]  angle= -88.3727 deg  range=2.0010 m
  [ 184]  angle= -87.8720 deg  range=1.9839 m
  [ 185]  angle= -87.3713 deg  range=1.9673 m
  [ 186]  angle= -86.8706 deg  range=1.9511 m
  [ 187]  angle= -86.3699 deg  range=1.9354 m
  [ 188]  angle= -85.8692 deg  range=1.9200 m
  [ 189]  angle= -85.3685 deg  range=1.9050 m
  [ 190]  angle= -84.8678 deg  range=1.8904 m
  [ 191]  angle= -84.3671 deg  range=1.8762 m
  [ 192]  angle= -83.8664 deg  range=1.8623 m
  [ 193]  angle= -83.3657 deg  range=1.8487 m
  [ 194]  angle= -82.8650 deg  range=1.8355 m
